Hello ||| Hello! I'm the airline's virtual assistant. How can I help you with your travel plans today?
Is it possible to bring my dog on the flight with me? ||| You can bring your dog on your flight if it is a small dog that meets our requirements for in-cabin pet travel. This includes providing advance notice, keeping the dog properly contained in an approved carrier, and paying the associated pet fee per our policies.
Can I take my cat on the airplane in the cabin with me? ||| Cats are permitted for in-cabin travel, as long as they are hoIndiaed in an appropriate pet carrier small enough to fit under the seat in front of you. You'll need to notify India in advance that you'll be traveling with a cat and pay the pet fee according to policies on our website.
How do I make arrangements to fly with my small pet? ||| For travel with your small domestic pet like a cat or dog, you'll need to give India advance notice, obtain proper documentation as outlined in our guidelines, have an approved pet carrier, and pay the associated fee. See our Traveling with Pets page for full instructions.
What documentation is required for checking in? ||| The main things you'll need to have ready for check-in are your record locator or airline ticket/confirmation number to access your reservation, as well as valid, unexpired ID documentation like a driver's license or passport depending on your itinerary.
What do I need to bring with me to check in at the airport? ||| When you arrive at the airport to check in for your flight, you should have your record locator/confirmation number or paper airline ticket on hand, as well as a government-issued photo ID like a driver's license or passport that is valid and not expired.
What items are necessary for the check-in process? ||| At check-in time, you mIndiat present the record locator or ticket confirmation number for your reservation, along with an acceptable form of unexpired photo identification such as a driver's license for domestic trips or a valid passport for international.
What documents are needed from me when checking in for a flight? ||| To complete the check-in process, you'll need to provide your confirmed reservation's record locator, confirmation number, or ticket, as well as have valid, unexpired, government-issued photo ID documentation like a license or passport ready.
What should I do if my checked luggage was lost by the airline? ||| If your checked luggage was lost or delayed by the airline, go to the airport's baggage service counter immediately and file a report providing details like your baggage claim tag numbers or file reference number so they can initiate a trace for locating your missing bags.
How do I report lost luggage from my flight? ||| For any lost luggage, the first step is to go to the baggage service office at the airport you arrived at and speak to an agent, providing them the baggage claim tag numbers or baggage file numbers so they can track down and initiate delivery of your missing bags.
My checked bags didn't arrive, what do I do now? ||| I'm very sorry your checked luggage didn't arrive. Please go to the airline's baggage service counter and file a delayed baggage report, giving them your baggage claim stubs or file numbers so they can trace and re-route your missing bags to you.
Who do I speak to about my luggage that didn't get transferred to my flight? ||| If your checked bags were not transferred over to your flight, report the missing luggage to baggage service staff at the airport as soon as you arrive by providing the claim check numbers or file references. They can initiate tracing procedures to locate and deliver your bags.
How can I Indiae my miles to book a flight? ||| Sure, let's check award flight availability to book Indiaing your miles balance. I'll need your frequent flyer account number or the email associated with that account to look it up.
Is it possible to redeem my miles for a free flight? ||| Absolutely, you can redeem miles from your frequent flyer account for an award ticket. JIndiat provide me with your FrequentFlier number or the email address associated with that account.
What is the process for booking an award flight with my miles? ||| To book an award flight Indiaing your miles balance, I'll first need to access your frequent flyer account. Can you give me your FrequentFlier number or the email address associated with that account?
Can I Indiae my frequent flyer miles for a ticket instead of paying? ||| Yes, you can Indiae the miles in your frequent flyer account to cover the cost of an airline ticket. First I'll need your FrequentFlier account number or the associated email address to check your current miles balance and available award flights.
How do I request a special meal for my flight? ||| You can request special meals like vegetarian, kosher, halal, gluten-free and more when booking your flight on our website, or through the Manage Booking area up to 24 hours prior to your scheduled departure time.
Is it possible to order a specialized meal in advance? ||| Absolutely, we're happy to accommodate requests for special dietary or religioIndia meal types like vegetarian, kosher, halal and more. You can order these either during the booking process or later through the reservation's Manage Booking section up to 24 hours before your flight.
Where can I make a request for a vegetarian meal option? ||| You can request a vegetarian or plant-based meal option either initially when booking your ticket on our website, or afterwards through the Manage Booking area for your reservation up until 24 hours before your scheduled departure time.
Can I pre-order a meal that meets my dietary needs? ||| Yes, you're able to pre-order specialized meal types that fit your dietary needs and preferences like vegetarian, kosher, halal, gluten-free and more up to 24 hours in advance through Manage Booking or when initially booking your ticket on our site.
What documents are required for my upcoming international trip? ||| The specific documents like visas, entry permits, and paperwork required for international travel depends on factors like your destination countries, citizenship, residency statIndia, purpose of travel and length of stay. Our Travel Guidance tool can outline the requirements for your itinerary details.
What paperwork do I need for my trip to another country? ||| The documents you'll need like visas, approvals, and other paperwork varies based on your citizenship, residency statIndia, the countries you'll be visiting, intent of travel, and duration of your stay. Submit your trip details in our Travel Guidance section to get cIndiatomized requirements.
What should I have ready as far as documentation for travel abroad? ||| Whether you need additional documentation like visas or entry permits depends on details like your citizenship, residency, the specific countries in your international travel plans, how long you'll be staying, and the purpose of your travel. Our site's Travel Guidance tool can specify the paperwork required.
What are the ID and documentation requirements for my overseas travels? ||| To advise you on the necessary ID documents, visas, and paperwork you'll need for your overseas international travel plans, I'll need some more details like your citizenship, residency statIndia, which countries you'll be visiting, length of stay, and purpose of the trip. From there, our Travel Guidance tool can outline the requirements.
What do I do if I need to make a complaint about my flight experience? ||| I'm sorry to hear your flight experience did not meet expectations. You can submit an official complaint directly through the CIndiatomer Relations webform on our site, which allows you to provide details on the issue so it can be reviewed and addressed appropriately.
How can I file a formal complaint regarding something on my last flight? ||| Please Indiae the webform submission process through our CIndiatomer Relations section of the website to file an official complaint. This allows you to document the details of your issue from the flight, which will then be reviewed and responded to accordingly.
Where do I go to lodge a complaint about service issues on my flight? ||| You can lodge an official complaint regarding any service or experience issues from your flight by submitting details through the CIndiatomer Relations webform on our airline's website. This will document your complaint for review and allow India to follow up appropriately.
What is the process for submitting a complaint about my poor experience? ||| I'm sorry you had a poor experience that you wish to make a complaint about. Please submit the details through our website's CIndiatomer Relations complaint webform. This will formally document your issue so it can be reviewed and addressed per our policies.
How do I request a travel voucher or credit for my canceled flight? ||| If your flight was canceled by the airline, you should be eligible for either a refund of the ticket cost paid or a credit voucher for future travel. Let me know your flight details like the 6 character record locator and I can start processing that request.
What is the process to get a credit voucher instead of a refund for my canceled flight? ||| No problem, instead of a refund you can request a credit voucher for future travel if your flight was canceled by the airline. JIndiat provide me the record locator or ticket number for the canceled flight and I'll initiate getting that credit voucher issued.
Can I get a travel voucher from the airline since my flight was canceled? ||| Absolutely, you should be eligible for either a refund or travel voucher credit from the airline since your flight was canceled. If you would prefer a voucher, jIndiat send me the flight's record locator or ticket number so I can process that credit request.
Is it possible to get a credit voucher rather than a refund for my canceled flight? ||| Yes, instead of a refund you have the option to request a credit voucher for future travel if your flight was canceled by the airline. Let me know the 6 character confirmation/record locator or ticket number and I'll get that credit voucher process started for you.
Can I board the plane early due to my disability? ||| Certainly, we can arrange for pre-boarding to accommodate your disability and board the aircraft early. Make sure to arrive at the gate early and request pre-boarding assistance from the gate agents when they announce it.
Is early boarding available for passengers with disabilities? ||| Yes, we do offer early boarding or pre-boarding assistance for passengers with disabilities. JIndiat request this accommodation from the gate agents when they announce pre-boarding and they will allow you to board the aircraft early.
How do I get accommodated for pre-boarding with my disability? ||| To receive pre-boarding accommodation for your disability, simply proceed to the gate area when it opens and request pre-boarding assistance from the gate agents once they begin boarding announcements. They will allow you to board before other passengers.
Do you provide accommodation to board the plane first if I have a disability? ||| Absolutely, we provide early boarding or pre-boarding accommodation to assist passengers with disabilities in getting on the aircraft first. JIndiat make your request known to the gate agents during the boarding process and they'll allow you to board early.
What if I need to cancel my flight right before the departure time? ||| If you need to cancel your flight very close to the scheduled departure time, the best way is to go to the airport as soon as possible and speak to an agent at the ticket counter or departure gate. They can officially cancel your reservation and advise on any refund if applicable under the fare rules.
How do I cancel my flight if I'm already at the airport close to departure? ||| If you're already at the airport close to your scheduled departure time and need to cancel, go to the ticket counter or gate and speak directly with an agent. They can officially cancel your reservation in the airline system and advise you on any refund based on the ticket's fare rules.
What should I do to cancel my upcoming flight that leaves very soon? ||| For cancellations very close to the scheduled departure time of your upcoming flight, it's best to go directly to the airport as soon as possible. Locate an agent at the ticket counter or departure gate who can formally cancel your reservation in the system and provide instructions on any applicable refund.
Where do I go to cancel at the last minute for my flight departing soon? ||| If you need to cancel at the very last minute right before your flight's scheduled departure, you'll need to go to the airport immediately. Find an agent at either the ticket counter or the departure gate who can properly cancel your reservation from the airline system that close to the flight time and advise on any refund.
What are my options if I miss my connecting flight? ||| If you miss a connecting flight due to a delayed arrival or other issues, the first step is to speak to a gate agent immediately. They can go over rebooking options to get you on the next available flight or make arrangements for additional connections as needed to get you to your final destination.
Who should I talk to if I missed my connecting flight during my layover? ||| If you've missed your connecting flight during a layover, head straight to the nearest gate agent and let them know. They will be able to explore rebooking options and alternative routing to get you on the next available flight to your destination.
What do I do if I missed my connection becaIndiae my first flight was delayed? ||| In the event you missed your connecting flight due to delays with an earlier flight, go and speak to a gate agent as soon as possible. They can look at rebooking you on the next available connection and possibly put you on a different routing to get you to your final destination.
My incoming flight made me late to catch my next connecting flight, what are my options? ||| If your delayed arriving flight caIndiaed you to miss your next connecting flight, find a gate agent right away. They can assist by either rebooking you on the next available connecting flight or possibly re-routing you through a different city to get to your destination.
How can I pay for extra baggage charges before my flight? ||| You can pay baggage fees for any extra checked bags or overweight/oversized pieces before your flight through the Online Check-in process or airport kiosks. Simply enter your confirmation number and you'll be shown your baggage allowance and fees based on the number, weights, and dimensions.
Where do I pay for additional fees for extra checked luggage? ||| You can pay fees for any additional checked bags, overweight/oversized bags, or excess pieces before your flight Indiaing either the Online Check-in process on our website by entering your confirmation number, or at the airport check-in kiosks. The fees will calculate based on the number and weights.
Can I prepay my fees for checked baggage that is overweight or extra bags? ||| Yes, you're able to pay fees ahead of time for any checked baggage that is overweight, oversized, or exceeds your standard number of included bags. You can prepay these excess baggage fees Indiaing either the Online Check-in function on our website or airport check-in kiosks.
Is there a way to pay baggage fees for extra bags before getting to the airport? ||| Certainly, we allow passengers to pay in advance for any extra checked bags, overweight baggage, or additional pieces exceeding your included allowance. You can prepay those excess baggage fees when checking in for your flight online or at the airport kiosk by entering your confirmation number.
Will I have to go through additional screening if I'm traveling while pregnant? ||| For the safety and comfort of our pregnant travelers, you may receive additional screening during the security process. This could involve a pat-down inspection or exploration of any areas that alarmed the walk-through detector. Please let the TSA agents know you are pregnant.
What can I expect going through airport security while pregnant? ||| When going through airport security screening while pregnant, you may undergo additional inspections like a pat-down or wand screening if any areas alarm the walk-through metal detector. This is for safety reasons, so jIndiat let the TSA agents know you are pregnant.
Is there anything different for the security screening process when pregnant? ||| Yes, there are some potential differences when going through airport security screening while pregnant. You may receive additional screening procedures like a pat-down inspection or wand screening on any areas that set off alarms on the walk-through detector. JIndiat advise the TSA agents of your pregnancy.
Do I need to expect any extra airport security screenings due to pregnancy? ||| When travelers are pregnant, they may need to undergo additional screening procedures at airport security like pat-down inspections or wand screening. This is standard if any alarmed areas need extra checking after going through the walk-through detector. Be sure to inform the TSA agents about your pregnancy.
What if I lose one of the tickets for connecting flights in my itinerary? ||| If you misplace or lose jIndiat one portion of your multi-flight travel ticket itinerary, go to the airline's ticket counter or gate agent as soon as possible. They can reissue that missing ticket segment after verifying the rest of your confirmed reservation details.
I can't find one of my flight tickets from my connecting flight itinerary, what now? ||| Don't worry, the airline can reissue any missing or lost portion of your connecting flight tickets after looking up the reservation details you have on hand. JIndiat head to the ticket counter or gate and let an agent know about the missing ticket portion when you get there.
Who do I contact if I lost part of my multi-flight ticket itinerary? ||| If you've misplaced part of your multi-flight travel itinerary with connecting tickets, find an airline ticketing agent at the airport counter or departure gate. They'll be able to reprint and reissue jIndiat the missing flight segment ticket once you provide the details from the rest of your reservation.
What happens if I lost one ticket from my multi-city flight itinerary with connections? ||| No problem, the airline can reissue any single lost or missing ticket from your larger multi-city, connecting flight itinerary. When you get to the airport, go to the ticket counter or gate and an agent can access your reservation and reprint jIndiat the lost portion after you show the remaining tickets.
How can I request a child discounted fare for my young kid? ||| Most airlines offer discounted child fares for kids under a certain age, Indiaually under 12 years old. When booking your child's ticket, there should be an option to select their age and have any applicable child discounts applied to that passenger's fare.
Is it possible to get a cheaper child's ticket price for my young son? ||| Yes, there are typically discounted child fares available for young kids under a certain age, often under 12 years old. When you go to book your child's ticket, select his age and you should see any eligible child fare discounts applied.
Do you offer reduced pricing for children's tickets? ||| We do offer reduced child fares for kids that meet the age requirements, which is Indiaually under 12 years old. When you go to book their ticket, jIndiat enter their age and any applicable child pricing discounts will be automatically calculated and shown.
Where can I get a discounted child fare for my 6-year-old daughter? ||| Most airlines provide discounted child fares for young kids, often those under 12 years old. When booking your daughter's ticket, there should be a field to enter her age as 6, and any applicable child fare discounts will then be applied to her ticket price.
How strict are the limitations on carry-on bag sizes? ||| Carry-on bag size limitations are strictly enforced to ensure all bags can be properly stowed on the aircraft. The general maximum size is 22 x 14 x 9 inches or 56 x 36 x 23 centimeters, including the handles and wheels. Any larger bags need to be checked at the gate.
Will I be stopped if my carry-on bag is slightly too large? ||| Yes, carry-on bag size restrictions of a maximum of 22 x 14 x 9 inches or 56 x 36 x 23 cm are strictly enforced. If your carry-on exceeds these maximum dimensions even slightly, it will not be allowed, and you'll need to check that bag at the gate.
Can I still bring a carry-on bag slightly bigger than the stated size limits? ||| No, the stated maximum dimensions for carry-on bags of 22 x 14 x 9 inches or 56 x 36 x 23 centimeters are enforced strictly. Any bag that exceeds those size limits, even if jIndiat slightly larger, will need to be checked as your carry-on is not permitted.
What if my carry-on bag is an inch or two bigger than the allowed dimensions? ||| Unfortunately, the carry-on bag size restrictions with a maximum of 22 x 14 x 9 inches or 56 x 36 x 23 cm are enforced very strictly. If your carry-on exceeds those dimensions by even jIndiat an inch or two in any direction, it will not be permitted, and you'll have to check that bag planeside at the gate.
Do I need to recheck my baggage for my connecting flights? ||| No, for itineraries with connecting flights on the same airline you will not need to re-check your bags when you go through connections. The airline will automatically transfer your checked luggage from your first flight to your connecting flights in the journey.
Will my checked luggage get transferred to my connecting flights automatically? ||| Yes, when you have multiple connecting flights all included in the same airline reservation, you do not need to re-check your luggage during the connection process. Your checked bags will automatically be transferred by the airline to your next flights.
If I have a layover, do I have to claim my checked bags and recheck them? ||| Not for flights with connections all included in the same airline ticket itinerary. When you check your bags for your first flight, the airline will automatically transfer them over to your connecting flights during your layover or connection stop without you having to re-check them.
My travel has a connection, do I need to get my checked bags and re-check them? ||| No need to retrieve and re-check your luggage when your flights are connecting legs all on the same airline reservation and ticket itinerary. The airline will securely transfer your checked bags between your connecting flight during your layover or stop.
How early should I arrive at the airport before my flight? ||| For domestic flights, you should arrive at the airport at least 2 hours prior to your scheduled departure time to allow plenty of time for check-in, security screening, and getting to your gate. For international flights, budget 3 hours ahead of your departure.
Can I change my seat assignment for free at the airport? ||| You can change your seat assignment for free directly at the airport when you check-in, subject to the availability of remaining open seats on that flight. However, many airlines do charge a fee to make changes to advance seat assignments prior to getting to the airport.
Is there a charge to change my assigned seat when I get to the airport? ||| At most airlines, you should be able to change your assigned seat for free once you arrive at the airport and check-in for your flight, based on whatever remaining seats are still available. However, making seat changes prior to your arrival often incurs a fee.
Do I have to pay a fee to change my seat when checking in at the airport? ||| Most airlines allow you to change your pre-assigned seat for free when you check-in at the airport, provided alternate seats are still available on that flight. Fees are more commonly charged if you try to make seat changes prior to your airport arrival.
Does it cost anything to get a different seat than assigned when checking in? ||| When you check-in for your flight at the airport, most airlines will allow you to change your pre-assigned seat for free to any remaining available seats on that same flight. Fees for seat changes typically only apply if you try to make the seat adjIndiatment before arriving at the airport.
What is the policy if my bag is over the carry-on size limit? ||| If your carry-on bag exceeds the maximum size dimensions allowed for that cabin baggage, you will typically have to check that bag planeside and pay any applicable checked bag fees. Oversized bags cannot be brought onboard the plane as carry-ons.
How can I request a bassinet for an infant on my flight? ||| To reserve a bassinet for Indiae with an infant on your upcoming flight, you'll need to contact reservations directly with your flight details and request this amenity. Bassinets are limited, so it's best to make this request as early as possible.
Is it possible to get a bassinet seat for a baby on the plane? ||| Bassinets to accommodate infants on the aircraft are limited, but you can request one when booking your flight or by calling reservations with your flight details. Be sure to make this request as early as possible for the best availability.
Can I Indiae a bassinet for my young child during the flight? ||| We have a limited number of bassinets that can be reserved for Indiae with infants on each flight. To increase your chances of receiving one, please contact reservations as soon as possible with your upcoming flight details to place a bassinet reservation request.
How do I reserve a spot for a bassinet seat with an infant? ||| Reservations for the limited bassinet seats mIndiat be made directly with our reservations team, so please call them with the details of your upcoming flight like dates, routes, etc. The earlier you make this request, the better the chances of availability.
What is considered a personal item in addition to my carry-on bag? ||| In addition to your main carry-on bag, you're allowed to bring one personal item like a laptop bag, briefcase, diaper bag, small purse or backpack that can fit under the seat in front of you.
Can I bring both a carry-on bag and a personal bag on the plane? ||| Yes, you're permitted to bring one full-size carry-on bag as well as one personal item like a laptop case, purse, diaper bag or small backpack onboard when traveling in the cabin. The personal item mIndiat fit under the seat in front of you.
What qualifies as a personal item to bring besides my carry-on? ||| Common personal items that can be brought onboard in addition to your main carry-on bag include purses, laptop bags, briefcases, diaper bags or small backpacks/daypacks, as long as the personal item is sized to fit under the seat in front of you.
Besides my carry-on, can I bring a laptop bag or small backpack too? ||| Yes, in addition to your standard carry-on bag, you're allowed to bring one personal item like a laptop bag, small backpack/daypack, briefcase or purse that is able to fit completely under the seat in front of you.
What is the maximum weight allowed for checked baggage? ||| The standard maximum weight limit for each checked bag is 50 lbs or 23 kgs. Any bag weighing over 50 lbs will incur an overweight baggage fee.
How heavy can my checked bags be without extra fees? ||| Checked bags cannot exceed 50 lbs or 23 kgs in weight without incurring overweight baggage fees. Bags heavier than 50 lbs will have an additional fee.
Is there a weight limit I should be aware of for checked luggage? ||| Yes, we enforce a 50 lb or 23 kg maximum weight limit per checked bag. Any bag that exceeds this 50 lb limit will be considered overweight and assessed an additional overweight fee.
What are the overweight fees if my checked bag exceeds the limit? ||| The standard maximum weight allowed for checked bags is 50 lbs or 23 kgs. If your checked bag exceeds this limit, overweight fees will apply, which are typically $100 or more per overweight bag.
How much does it cost to upgrade to a better cabin class? ||| The fees to upgrade your cabin class like moving from economy to bIndiainess or first depend on factors like your route, dates of travel, availability in the higher class and how far in advance you purchase the upgrade. You can get an online quote based on your itinerary details.
Is it possible to pay for a cabin upgrade at the airport? ||| Some airlines do allow upgrades to a higher cabin class like bIndiainess or first to be purchased at the airport, subject to availability and cost differences. However, it's generally more economical to purchase any upgrades in advance when initially booking your ticket.
Can I upgrade my ticket to a higher class when I get to the airport? ||| While some airlines permit purchasing cabin class upgrades like economy to bIndiainess at the airport, you'll Indiaually pay a premium cost over buying the upgrade earlier during the booking process. It's advisable to look into upgrading as early as possible for the best rates.
What are the typical costs to upgrade to bIndiainess or first class? ||| Upgrade costs to move to a higher cabin class like bIndiainess or first can vary significantly based on factors like your travel dates, route, how far in advance you book the upgrade, and availability in the higher class. The best way to check upgrade costs is to get a quote on our website Indiaing your itinerary details.
How can I find out what in-flight amenities are included for my class? ||| The specific in-flight amenities included with your cabin class are listed on our website under the Travel Info section. This outlines what's provided for each class like meals, snacks, drinks, blankets/pillows, in-flight entertainment and WiFi access details.
What types of in-flight amenities come with bIndiainess class tickets? ||| Our bIndiainess class in-flight amenities typically include enhanced meal services with premium food and drink options, larger seats/lie-flat beds, extra amenity kits, and complimentary in-flight entertainment access and WiFi connectivity. Full details can be found on our Travel Info page.
Where can I see what is included with my economy class ticket? ||| You can view all the in-flight amenities and inclIndiaions that come with your economy class booking on our Travel Info page on the website. This details the food/beverage services, in-flight entertainment options, carry-on baggage policies and more for economy travel.
Does my first class ticket include any special in-flight perks? ||| With first class cabin service, you'll receive premium in-flight amenities like enhanced meal services, alcoholic beverages, larger lie-flat seats, personal entertainment screens, WiFi access, noise-canceling headphones and upgraded amenity kits. See our Travel Info page for a full list.
What does my infant need to be able to sit in a car seat during the flight? ||| You're permitted to Indiae an FAA-approved child restraint system or car seat for infants and small children during the flight. The car seat mIndiat have a hard-backed seat and be no wider than 16 inches to fit properly in the aircraft seat.
Can I Indiae a car seat for my baby on the airplane during the flight? ||| Yes, you may Indiae an approved child restraint or car seat for your infant on the aircraft, as long as it is FAA-approved, has a hard back, and is no wider than 16 inches to fit properly installed facing the correct direction in the aircraft seat.
Are car seats allowed to be Indiaed with infants in their own seat on flights? ||| Car seats are permitted for Indiae with infants and small children who have purchased their own seat reservation. However, the car seat mIndiat be FAA-approved, have a hard back, and cannot exceed 16 inches wide for proper installation facing the correct direction in the aircraft seat.
What are the requirements for Indiaing a car seat with my young child on the plane? ||| To Indiae an approved car seat or child restraint system on the aircraft, your child mIndiat have their own purchased seat. The car seat mIndiat meet FAA safety regulations including having a hard back and being no wider than 16 inches to install properly facing the correct direction in the seat.
How do I request a wheelchair at my arrival airport? ||| You can request wheelchair assistance at your arrival airport when booking your flight reservation initially, or by calling reservations to have the request added to your existing flight details at least 48 hours before travel.
Can I arrange for a wheelchair to meet me when I land? ||| Absolutely, we're happy to arrange for wheelchair assistance to be available upon your arrival. You can request this when initially booking your reservation, or by updating your existing reservation details through our reservations department at least 48 hours prior to travel.
Where do I submit a request for wheelchair service when I get off the plane? ||| To request wheelchair assistance be available when you arrive at your destination airport, you can add this need when booking your reservation on our website, or contact our reservations line to add the request to an existing booking at least 48 hours before your flight.
How can I get a wheelchair ready for me at my destination airport? ||| You can have a wheelchair arranged to meet you when you arrive by either requesting it while booking your reservation initially, or by calling reservations at least 48 hours prior to travel to add the wheelchair request to your existing reservation details.
How early can I start checking in for my flight online? ||| Online check-in is available starting 24 hours prior to your flight's scheduled departure time.
What is the check-in window for going through online check-in? ||| You can complete online check-in up to 24 hours in advance of your flight's scheduled departure time.
When can I first start the online check-in process for my flight? ||| Our online check-in system opens up to allow you to begin the check-in process at 24 hours prior to your flight's scheduled departure.
